Accn	Pfam	Pfam_desc	CDD	CDD_desc	InterPro	InterPro_desc	GO	KEGG	EC	TIGRFAM	TIGRFAM_desc	HAMAP	HAMAP_desc	CAZy	KoFamScan
k141_21090_12009_13661_+	PF14104	Domain of unknown function (DUF4277)			IPR025457	Domain of unknown function DUF4277	-								
k141_21090_13809_15779_+	PF13086;PF13087;PF18741	AAA domain;AAA domain;REase_MTES_1575			IPR041677;IPR041679;-	DNA2/NAM7 helicase, helicase domain;DNA2/NAM7 helicase-like, C-terminal;-	GO:0004386;-								
k141_21090_15802_17493_+	PF03235	Protein of unknown function DUF262			IPR004919	Domain of unknown function DUF262	-								
k141_21090_17557_18025_+	PF07282	Putative transposase DNA-binding domain			IPR010095	Transposase IS605, OrfB, C-terminal	-			TIGR01766	tspaseT_teng_C: transposase, IS605 OrfB family				K07496
k141_21090_18615_21490_+	PF05685;PF08901	Putative restriction endonuclease;Protein of unknown function (DUF1847)			IPR008538;IPR014997	Putative restriction endonuclease;Protein of unknown function DUF1847	-								K12574
k141_21090_21696_22365_+	PF01850	PIN domain			IPR002716	PIN domain	-								K21495
k141_21090_22476_26482_+	PF00176;PF00271;PF02535;PF04434;PF08455	SNF2-related domain;Helicase conserved C-terminal domain;ZIP Zinc transporter;SWIM zinc finger;Bacterial SNF2 helicase associated			IPR000330;IPR001650;IPR003689;IPR007527;IPR013663	SNF2, N-terminal;Helicase, C-terminal;Zinc/iron permease;Zinc finger, SWIM-type;Helicase, SWF/SNF/SWI type, bacterial	GO:0005524;GO:0140658;-;GO:0016020;GO:0030001;GO:0046873;GO:0055085;GO:0008270								K07238
k141_21090_652_10176_+	PF01507	Phosphoadenosine phosphosulfate reductase family			IPR002500	Phosphoadenosine phosphosulphate reductase	GO:0003824								
k141_21101_121_207_+															
k141_2110_1_171_+															
k141_21101_1851_1931_+															
k141_21101_319_1437_-	PF01385;PF07282	Probable transposase;Putative transposase DNA-binding domain			IPR001959;IPR010095	Probable transposase, IS891/IS1136/IS1341;Transposase IS605, OrfB, C-terminal	-			TIGR01766	tspaseT_teng_C: transposase, IS605 OrfB family				K07496
k141_2110_2133_3956_+	PF01380;PF13522	SIS domain;Glutamine amidotransferase domain			IPR005855;IPR001347;-	Glucosamine-fructose-6-phosphate aminotransferase, isomerising;SIS domain;-	GO:0004360;GO:1901137;GO:0097367;GO:1901135			TIGR01135	glmS: glutamine-fructose-6-phosphate transaminase (isomerizing)	MF_00164	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] [glmS].		K00820
k141_2110_343_453_+															
k141_2110_469_2049_+	PF00117;PF00958;PF02540	Glutamine amidotransferase class-I;GMP synthase C terminal domain;NAD synthase			IPR022955;IPR017926;IPR001674;IPR022310;IPR004739	GMP synthase;Glutamine amidotransferase;GMP synthase, C-terminal;NAD/GMP synthase;GMP synthase, glutamine amidotransferase	GO:0003922;GO:0006177;-;GO:0005524;GO:0006164			TIGR00884;TIGR00888	guaA_Cterm: GMP synthase (glutamine-hydrolyzing), C-terminal domain;guaA_Nterm: GMP synthase (glutamine-hydrolyzing), N-terminal domain	MF_00344	GMP synthase [glutamine-hydrolyzing] [guaA].		K01951;K03790
k141_21113_153_1823_-	PF02397;PF02719;PF17836	Bacterial sugar transferase;Polysaccharide biosynthesis protein;PglD N-terminal domain			IPR003362;IPR003869;IPR041561	Bacterial sugar transferase;Polysaccharide biosynthesis protein, CapD-like domain;PglD, N-terminal	-								
k141_21113_1913_4842_-	PF00132;PF01408;PF02350;PF02894;PF14602	Bacterial transferase hexapeptide (six repeats);Oxidoreductase family, NAD-binding Rossmann fold;UDP-N-acetylglucosamine 2-epimerase;Oxidoreductase family, C-terminal alpha/beta domain;Hexapeptide repeat of succinyl-transferase			IPR001451;IPR000683;IPR003331;IPR004104;IPR029767	Hexapeptide repeat;Gfo/Idh/MocA-like oxidoreductase, N-terminal;UDP-N-acetylglucosamine 2-epimerase domain;Gfo/Idh/MocA-like oxidoreductase, C-terminal;UDP-N-acetylglucosamine 2-epimerase WecB-like	-;GO:0000166;GO:0008761			TIGR00236	wecB: UDP-N-acetylglucosamine 2-epimerase			GH109	K13020;K13018
k141_21113_4866_5360_-	PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain			IPR014027	UDP-glucose/GDP-mannose dehydrogenase, C-terminal	GO:0016616;GO:0051287								
k141_21141_1_329_-															
k141_21141_332_1047_-	PF00633;PF00730	Helix-hairpin-helix motif;HhH-GPD superfamily base excision DNA repair protein			IPR005759;IPR000445;IPR003265	Endonuclease III;Helix-hairpin-helix motif;HhH-GPD domain	GO:0003906;GO:0006284;GO:0003677					MF_00942	Endonuclease III [nth].		K10773
k141_21147_10318_11591_-	PF01510;PF06338	N-acetylmuramoyl-L-alanine amidase;ComK protein			IPR002502;IPR010461	N-acetylmuramoyl-L-alanine amidase domain;Competence protein ComK	GO:0008745;GO:0009253;GO:0030420								K01447
k141_21147_11631_11777_-	PF12841	YvrJ protein family			IPR024419	Protein of unknown function YvrJ	-								
k141_21147_11840_12055_-	PF11148	Protein of unknown function (DUF2922)			IPR021321	Protein of unknown function DUF2922	-								
k141_21147_12107_12334_-	PF07872	Protein of unknown function (DUF1659)			IPR012454	Protein of unknown function DUF1659	-								
k141_21147_12699_12782_+															
k141_21147_12841_13335_+	PF04892	VanZ like family			IPR006976	VanZ-like	-								
k141_21147_13371_17685_+	PF02706;PF04932;PF13181;PF13807	Chain length determinant protein;O-Antigen ligase;Tetratricopeptide repeat;G-rich domain on putative tyrosine kinase			IPR003856;IPR007016;IPR019734;IPR032807	Polysaccharide chain length determinant N-terminal domain;O-antigen ligase-related;Tetratricopeptide repeat;Tyrosine kinase, G-rich domain	GO:0009103;GO:0016020;-;GO:0005515								K18814
k141_21147_1_431_+															
k141_21147_1718_3451_+	PF00158;PF00989;PF01408;PF02954	Sigma-54 interaction domain;PAS fold;Oxidoreductase family, NAD-binding Rossmann fold;Bacterial regulatory protein, Fis family			IPR002078;IPR013767;IPR000683;IPR002197;IPR000014	RNA polymerase sigma factor 54 interaction domain;PAS fold;Gfo/Idh/MocA-like oxidoreductase, N-terminal;DNA binding HTH domain,  Fis-type;PAS domain	GO:0005524;GO:0006355;GO:0008134;GO:0000166;GO:0043565;-			TIGR00229	sensory_box: PAS domain S-box protein				K21405;K06714
k141_21147_17808_18285_+					IPR005702	Exopolysaccharide synthesis protein	GO:0045226			TIGR01007	eps_fam: capsular exopolysaccharide family				
k141_21147_18401_19275_+	PF02397	Bacterial sugar transferase			IPR003362	Bacterial sugar transferase	-								
k141_21147_3470_3610_-															
k141_21147_3755_5191_+	PF00474	Sodium:solute symporter family			IPR001734	Sodium/solute symporter	GO:0016020;GO:0022857;GO:0055085								
k141_21147_5275_5586_-															
k141_21147_5616_7481_+	PF00037;PF04324;PF07992	4Fe-4S binding domain;BFD-like [2Fe-2S] binding domain;Pyridine nucleotide-disulphide oxidoreductase			IPR017896;IPR007419;IPR023753	4Fe-4S ferredoxin-type, iron-sulphur binding domain;BFD-like [2Fe-2S]-binding domain;FAD/NAD(P)-binding domain	-;GO:0016491								
k141_21147_600_1619_+	PF01118;PF02774	Semialdehyde dehydrogenase, NAD binding domain;Semialdehyde dehydrogenase, dimerisation domain			IPR012080;IPR000534;IPR012280;IPR005986	Aspartate-semialdehyde dehydrogenase;Semialdehyde dehydrogenase, NAD-binding;Semialdehyde dehydrogenase, dimerisation domain;Aspartate-semialdehyde dehydrogenase, beta-type	GO:0004073;GO:0009086;GO:0009088;GO:0009089;GO:0009097;GO:0050661;GO:0016620;GO:0051287;GO:0008652;GO:0046983			TIGR01296	asd_B: aspartate-semialdehyde dehydrogenase	MF_02121	Aspartate-semialdehyde dehydrogenase [asd].		K00133
k141_21147_7506_10291_+	PF00701;PF01177;PF01266	Dihydrodipicolinate synthetase family;Asp/Glu/Hydantoin racemase;FAD dependent oxidoreductase			IPR005263;IPR002220;IPR015942;IPR006076	4-hydroxy-tetrahydrodipicolinate synthase, DapA;DapA-like;Asp/Glu/hydantoin racemase;FAD dependent oxidoreductase	GO:0008840;GO:0009089;GO:0016829;GO:0006807;GO:0036361;GO:0016491			TIGR00674	dapA: 4-hydroxy-tetrahydrodipicolinate synthase	MF_00418	4-hydroxy-tetrahydrodipicolinate synthase [dapA].		K01714;K00303
k141_21150_101101_101520_+	PF00011	Hsp20/alpha crystallin family			IPR002068	Alpha crystallin/Hsp20 domain	-								K13993
k141_21150_101610_102878_-	PF00208;PF02812	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase;Glu/Leu/Phe/Val dehydrogenase, dimerisation domain			IPR006096;IPR006097	Glutamate/phenylalanine/leucine/valine dehydrogenase, C-terminal;Glutamate/phenylalanine/leucine/valine dehydrogenase, dimerisation domain	GO:0006520;GO:0016491								
k141_21150_103164_103553_-															
k141_21150_103683_103831_+															
k141_21150_103955_104305_+	PF03232	Ubiquinone biosynthesis protein COQ7			-	-									K09700
k141_21150_104357_105169_+	PF04454	Encapsulating protein for peroxidase			IPR007544	Type 1 encapsulin shell protein	-								
k141_21150_105261_107397_+	PF19789	Family of unknown function (DUF6273)			IPR046240	Domain of unknown function DUF6273	-								
k141_21150_107405_110202_-	PF02347	Glycine cleavage system P-protein			IPR023010;IPR023012;IPR020581	Probable glycine dehydrogenase (decarboxylating) subunit 1;Probable glycine dehydrogenase (decarboxylating) subunit 2;Glycine cleavage system P protein	GO:0004375;GO:0009116;GO:0019464;GO:0006546					MF_00712;MF_00713	Probable glycine dehydrogenase (decarboxylating) subunit 1 [gcvPA].;Probable glycine dehydrogenase (decarboxylating) subunit 2 [gcvPB].		K00281;K00283;K00282
k141_21150_10908_12620_-	PF00501	AMP-binding enzyme			IPR000873	AMP-dependent synthetase/ligase	-								K01897
k141_21150_110204_110587_-	PF01597	Glycine cleavage H-protein			IPR002930;IPR033753;IPR017453	Glycine cleavage system H-protein;Glycine cleavage system H-protein/Simiate;Glycine cleavage system H-protein, subgroup	GO:0005960;GO:0019464;-			TIGR00527	gcvH: glycine cleavage system H protein	MF_00272	Glycine cleavage system H protein [gcvH].		K02437
k141_21150_110633_111805_-	PF01571;PF08669	Aminomethyltransferase folate-binding domain;Glycine cleavage T-protein C-terminal barrel domain			IPR022903;IPR006222;IPR013977;IPR006223	Glycine cleavage system T protein, bacteria;Aminomethyltransferase, folate-binding domain;Glycine cleavage T-protein, C-terminal barrel domain;Glycine cleavage system T protein	GO:0004047;GO:0006546;-			TIGR00528	gcvT: glycine cleavage system T protein	MF_00259	Aminomethyltransferase [gcvT].		K00605
k141_21150_111849_115289_-	PF00703;PF02836;PF02837;PF16355;PF18565	Glycosyl hydrolases family 2;Glycosyl hydrolases family 2, TIM barrel domain;Glycosyl hydrolases family 2, sugar binding domain;Domain of unknown function (DUF4982);Glycoside hydrolase family 2 C-terminal domain 5			IPR006102;IPR006103;IPR006104;IPR032311;IPR040605	Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich;Glycoside hydrolase family 2, catalytic domain;Glycosyl hydrolases family 2, sugar binding domain;Domain of unknown function DUF4982;Glycoside hydrolase family 2, domain 5	GO:0004553;GO:0005975;-							GH158;GH2	K01190
k141_21150_115626_115964_+	PF07883	Cupin domain			IPR013096	Cupin 2, conserved barrel	-								
k141_21150_116039_119609_-	PF00072;PF00486;PF00512;PF01643;PF02518	Response regulator receiver domain;Transcriptional regulatory protein, C terminal;His Kinase A (phospho-acceptor) domain;Acyl-ACP thioesterase;Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase			IPR001789;IPR001867;IPR003661;IPR002864;IPR003594	Signal transduction response regulator, receiver domain;OmpR/PhoB-type DNA-binding domain;Signal transduction histidine kinase, dimerisation/phosphoacceptor domain;Acyl-ACP thioesterase;Histidine kinase/HSP90-like ATPase	GO:0000160;GO:0003677;GO:0006355;GO:0000155;GO:0007165;GO:0006633;GO:0016790;-								
k141_21150_119647_120609_-	PF03706	Lysylphosphatidylglycerol synthase TM region			IPR022791	Lysylphosphatidylglycerol synthetase/glycosyltransferase AglD	-			TIGR00374	TIGR00374: TIGR00374 family protein				
k141_21150_121105_122052_-	PF01116	Fructose-bisphosphate aldolase class-II			IPR000771;IPR011289	Fructose-bisphosphate aldolase, class-II;Fructose-1,6-bisphosphate aldolase, class 2	GO:0005975;GO:0008270;GO:0016832;GO:0004332;GO:0006096;GO:0030388			TIGR00167;TIGR01859	cbbA: ketose-bisphosphate aldolase;fruc_bis_ald_: fructose-1,6-bisphosphate aldolase, class II				K01624
k141_21150_122145_123009_-	PF01464	Transglycosylase SLT domain			IPR008258	Transglycosylase SLT domain 1	-							GH23	K08309
k141_21150_123089_126421_-	PF00476;PF01121;PF01367;PF01612;PF02739	DNA polymerase family A;Dephospho-CoA kinase;5'-3' exonuclease, C-terminal SAM fold;3'-5' exonuclease;5'-3' exonuclease, N-terminal resolvase-like domain			IPR001977;IPR001098;IPR020045;IPR002562;IPR020046;IPR018320	Dephospho-CoA kinase;DNA-directed DNA polymerase, family A, palm domain;DNA polymerase I-like, H3TH domain;3'-5' exonuclease domain;5'-3' exonuclease, alpha-helical arch, N-terminal;DNA polymerase 1	GO:0004140;GO:0005524;GO:0015937;GO:0003677;GO:0003887;GO:0006260;GO:0003824;GO:0003676;GO:0006139;GO:0008408			TIGR00152;TIGR00593	TIGR00152: dephospho-CoA kinase;pola: DNA polymerase I	MF_00376	Dephospho-CoA kinase [coaE].		K02335;K00859
k141_21150_126545_127495_-	PF13490	Putative zinc-finger			IPR027383	Putative zinc-finger	-								
k141_21150_12753_13470_-	PF00027;PF13545	Cyclic nucleotide-binding domain;Crp-like helix-turn-helix domain			IPR000595;IPR012318	Cyclic nucleotide-binding domain;Crp-type HTH domain	-;GO:0003677;GO:0006355								
k141_21150_13562_15124_+	PF03063	Prismane/CO dehydrogenase family			IPR010048;IPR004137	Hydroxylamine reductase;Hydroxylamine reductase/Ni-containing CO dehydrogenase	GO:0005737;GO:0016661;GO:0051536;GO:0016491			TIGR01703	hybrid_clust: hydroxylamine reductase	MF_00069	Hydroxylamine reductase [hcp].		K05601
k141_21150_15180_16403_-	PF01814;PF04282;PF13596	Hemerythrin HHE cation binding domain;Family of unknown function (DUF438);PAS domain			IPR012312;IPR007380;-	Hemerythrin-like;Domain of unknown function DUF438;-	-								K09155
k141_21150_1636_4014_-	PF01588;PF03147;PF03483;PF03484;PF17759	Putative tRNA binding domain;Ferredoxin-fold anticodon binding domain;B3/4 domain;tRNA synthetase B5 domain;Phenylalanyl tRNA synthetase beta chain CLM domain			IPR004532;IPR002547;IPR005121;IPR005146;IPR005147;IPR041616	Phenylalanine-tRNA ligase, class IIc, beta subunit, bacterial type;tRNA-binding domain;Ferrodoxin-fold anticodon-binding domain;B3/B4 tRNA-binding domain;tRNA synthetase, B5-domain;Phenylalanyl tRNA synthetase beta chain, core domain	GO:0000287;GO:0004826;GO:0005524;GO:0006432;GO:0000049;-;GO:0003723			TIGR00472	pheT_bact: phenylalanine--tRNA ligase, beta subunit	MF_00283	Phenylalanine--tRNA ligase beta subunit [pheT].		K01890
k141_21150_16436_16636_+															
k141_21150_16737_17200_+	PF13451	Probable zinc-ribbon domain			IPR025306	Probable zinc-binding domain	-								
k141_21150_17208_17958_-															
k141_21150_17984_20368_+	PF06733;PF06777;PF13307	DEAD_2;Helical and beta-bridge domain;Helicase C-terminal domain			IPR010614;IPR010643;IPR006555	DEAD2;Helical and beta-bridge domain;ATP-dependent helicase, C-terminal	GO:0003677;GO:0003678;GO:0005524;-;GO:0003676;GO:0004386;GO:0006139;GO:0016818								K10844
k141_21150_20461_21498_-	PF00356;PF13377	Bacterial regulatory proteins, lacI family;Periplasmic binding protein-like domain			IPR000843;IPR046335	LacI-type HTH domain;Transcriptional regulator LacI/GalR-like, sensor domain	GO:0003677;GO:0006355;-								K02529
k141_21150_21627_24449_-	PF05592;PF08531;PF17389;PF17390	Bacterial alpha-L-rhamnosidase concanavalin-like domain;Alpha-L-rhamnosidase N-terminal domain;Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain;Bacterial alpha-L-rhamnosidase C-terminal domain			IPR008902;IPR013737;IPR035396;IPR035398	Alpha-L-rhamnosidase, concanavalin-like domain;Bacterial alpha-L-rhamnosidase N-terminal;Alpha-L-rhamnosidase, six-hairpin glycosidase domain;Alpha-L-rhamnosidase C-terminal domain	-							CBM67;GH78	K05989
k141_21150_24560_29346_-	PF00370;PF00456;PF02779;PF02780;PF02782;PF02952	FGGY family of carbohydrate kinases, N-terminal domain;Transketolase, thiamine diphosphate binding domain;Transketolase, pyrimidine binding domain;Transketolase, C-terminal domain;FGGY family of carbohydrate kinases, C-terminal domain;L-fucose isomerase, C-terminal domain			IPR018484;IPR005474;IPR005475;IPR033248;IPR018485;IPR015888	Carbohydrate kinase, FGGY, N-terminal;Transketolase, N-terminal;Transketolase-like, pyrimidine-binding domain;Transketolase, C-terminal domain;Carbohydrate kinase, FGGY, C-terminal;L-fucose isomerase, C-terminal	GO:0005975;GO:0016301;-;GO:0005737;GO:0006004;GO:0008736								K00864;K00615
k141_21150_29922_31271_-	PF12904;PF13204	Putative collagen-binding domain of a collagenase;Protein of unknown function (DUF4038)			IPR024749;IPR025277	Putative collagen-binding domain;Putative glycohydrolase domain DUF4038	-							GH140	
k141_21150_31642_32289_-	PF00081;PF02777	Iron/manganese superoxide dismutases, alpha-hairpin domain;Iron/manganese superoxide dismutases, C-terminal domain			IPR019831;IPR019832	Manganese/iron superoxide dismutase, N-terminal;Manganese/iron superoxide dismutase, C-terminal	GO:0004784;GO:0006801;GO:0046872								K04564
k141_21150_32386_33426_-	PF07470	Glycosyl Hydrolase Family 88			IPR010905	Glycosyl hydrolase, family 88	-							GH105	K15532
k141_21150_332_1573_+	PF05636	HIGH Nucleotidyl Transferase			IPR008513	tRNA(Met) cytidine acetate ligase	-					MF_01539	tRNA(Met) cytidine acetate ligase [tmcAL].		
k141_21150_33520_36433_-	PF07470;PF13472	Glycosyl Hydrolase Family 88;GDSL-like Lipase/Acylhydrolase family			IPR010905;IPR013830	Glycosyl hydrolase, family 88;SGNH hydrolase-type esterase domain	-							CE12;GH105	K15532
k141_21150_36519_37667_-	PF00480	ROK family			IPR000600	ROK family	-								
k141_21150_37722_38973_-	PF12832	MFS_1 like family			IPR024989	Major facilitator superfamily associated domain	-								K05820
k141_21150_39079_40737_+															
k141_21150_4053_5072_-	PF01409;PF02912	tRNA synthetases class II core domain (F);Aminoacyl tRNA synthetase class II, N-terminal domain			IPR022911;IPR002319;IPR004188;IPR004529	Phenylalanine-tRNA ligase alpha chain 1, bacterial;Phenylalanyl-tRNA synthetase;Phenylalanine-tRNA ligase, class II, N-terminal;Phenylalanyl-tRNA synthetase, class IIc, alpha subunit	GO:0004826;GO:0000049;GO:0004812;GO:0005524;GO:0043039;GO:0000166;GO:0005737;GO:0006432			TIGR00468	pheS: phenylalanine--tRNA ligase, alpha subunit	MF_00281	Phenylalanine--tRNA ligase alpha subunit [pheS].		K01889
k141_21150_40783_42496_-	PF07470	Glycosyl Hydrolase Family 88			IPR010905	Glycosyl hydrolase, family 88	-							GH105	K15532
k141_21150_42567_44343_-	PF13416	Bacterial extracellular solute-binding protein			IPR006059	Bacterial extracellular solute-binding protein	-								K17318
k141_21150_44367_46189_-	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515	ABC transporter type 1, transmembrane domain MetI-like	GO:0016020;GO:0055085								K17319;K17320
k141_21150_46523_48871_+	PF02743;PF12833	Cache domain;Helix-turn-helix domain			IPR033479;IPR018060	Double Cache domain 1;DNA binding HTH domain, AraC-type	-;GO:0003700;GO:0006355;GO:0043565								K07720
k141_21150_48938_52073_-	PF01074;PF07748;PF09261;PF17677	Glycosyl hydrolases family 38 N-terminal domain;Glycosyl hydrolases family 38 C-terminal domain;Alpha mannosidase middle domain;Glycosyl hydrolases family 38 C-terminal beta sandwich domain			IPR000602;IPR011682;IPR015341;IPR041147	Glycoside hydrolase family 38, N-terminal domain;Glycosyl hydrolase family 38, C-terminal;Glycoside hydrolase family 38, central domain;Glycosyl hydrolases family 38, C-terminal beta sandwich domain	GO:0004559;GO:0006013;-							GH38	K01191
k141_21150_5099_5459_+															
k141_21150_52104_56433_-	PF00107;PF01261;PF01408;PF02633;PF02894;PF08240	Zinc-binding dehydrogenase;Xylose isomerase-like TIM barrel;Oxidoreductase family, NAD-binding Rossmann fold;Creatinine amidohydrolase;Oxidoreductase family, C-terminal alpha/beta domain;Alcohol dehydrogenase GroES-like domain			IPR013149;IPR013022;IPR000683;IPR003785;IPR004104;IPR013154;IPR030827	Alcohol dehydrogenase-like, C-terminal;Xylose isomerase-like, TIM barrel domain;Gfo/Idh/MocA-like oxidoreductase, N-terminal;Creatininase/formamide hydrolase;Gfo/Idh/MocA-like oxidoreductase, C-terminal;Alcohol dehydrogenase, N-terminal;Inositol 2-dehydrogenase	-;GO:0000166			TIGR04380	myo_inos_iolG: inositol 2-dehydrogenase			GH109	K22231;K00010;K18910;K01470
k141_21150_56521_58921_-	PF00356;PF13349;PF13377	Bacterial regulatory proteins, lacI family;Putative adhesin;Periplasmic binding protein-like domain			IPR000843;IPR025164;IPR046335	LacI-type HTH domain;Putative adhesin;Transcriptional regulator LacI/GalR-like, sensor domain	GO:0003677;GO:0006355;-								K02529;K11621
k141_21150_5679_7361_-															
k141_21150_59050_59420_-	PF01208	Uroporphyrinogen decarboxylase (URO-D)			IPR000257	Uroporphyrinogen decarboxylase (URO-D)	GO:0004853;GO:0006779								
k141_21150_59521_59655_+	PF00165	Bacterial regulatory helix-turn-helix proteins, AraC family			IPR018060	DNA binding HTH domain, AraC-type	GO:0003700;GO:0006355;GO:0043565								
k141_21150_59677_63301_-	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region			IPR003439;IPR011527	ABC transporter-like, ATP-binding domain;ABC transporter type 1, transmembrane domain	GO:0005524;GO:0016020;GO:0055085;GO:0140359								
k141_21150_63581_64104_+															
k141_21150_64315_65520_+	PF07833;PF14343	Copper amine oxidase N-terminal domain;PrcB C-terminal			IPR012854;IPR025748	Copper amine oxidase-like, N-terminal;PrcB C-terminal domain	-								
k141_21150_65558_69821_-	PF00873;PF13437;PF13533	AcrB/AcrD/AcrF family;HlyD family secretion protein;Biotin-lipoyl like			IPR001036;-;IPR039562	Acriflavin resistance protein;-;Membrane fusion protein, biotin-lipoyl like domain	GO:0016020;GO:0022857;GO:0055085;-								
k141_21150_69909_71681_-	PF00440;PF04239;PF14276	Bacterial regulatory proteins, tetR family;Protein of unknown function (DUF421);Domain of unknown function (DUF4363)			IPR001647;IPR007353;IPR025373	DNA-binding HTH domain, TetR-type;Protein of unknown function DUF421;Protein of unknown function DUF4363	GO:0003677;-								
k141_21150_71692_72079_+															
k141_21150_72101_72935_-	PF03591	AzlC protein			IPR011606	Branched-chain amino acid transport, permease	-								
k141_21150_72995_73575_-															
k141_21150_73679_73843_+															
k141_21150_74124_75275_+	PF00248;PF13187	Aldo/keto reductase family;4Fe-4S dicluster domain			IPR023210;IPR017896	NADP-dependent oxidoreductase domain;4Fe-4S ferredoxin-type, iron-sulphur binding domain	-								K07079
k141_21150_75349_76158_-	PF02535	ZIP Zinc transporter			IPR023498;IPR003689	Zinc transporter ZupT;Zinc/iron permease	-;GO:0016020;GO:0030001;GO:0046873;GO:0055085					MF_00548	Zinc transporter ZupT [zupT].		K07238
k141_21150_76444_78708_+	PF12833;PF17853	Helix-turn-helix domain;GGDEF-like domain			IPR018060;IPR041522	DNA binding HTH domain, AraC-type;CdaR, GGDEF-like domain	GO:0003700;GO:0006355;GO:0043565;-								K07720
k141_21150_7826_9737_+	PF13360	PQQ-like domain			IPR002372	Pyrrolo-quinoline quinone repeat	-								
k141_21150_78799_82777_-	PF00528;PF01547	Binding-protein-dependent transport system inner membrane component;Bacterial extracellular solute-binding protein			IPR000515;IPR006059	ABC transporter type 1, transmembrane domain MetI-like;Bacterial extracellular solute-binding protein	GO:0016020;GO:0055085;-								K17319;K17320;K17318
k141_21150_82925_84736_-	PF00821;PF17297	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain;Phosphoenolpyruvate carboxykinase N-terminal domain			IPR008209;IPR035077;IPR035078	Phosphoenolpyruvate carboxykinase, GTP-utilising;Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain;Phosphoenolpyruvate carboxykinase, GTP-utilising, N-terminal	GO:0004611;GO:0005525;GO:0006094					MF_00452	Phosphoenolpyruvate carboxykinase [GTP] [pckG].		K01596
k141_21150_84917_85816_-	PF00126;PF03466	Bacterial regulatory helix-turn-helix protein, lysR family;LysR substrate binding domain			IPR000847;IPR005119	Transcription regulator HTH, LysR;LysR, substrate-binding	GO:0003700;GO:0006355;-								
k141_21150_85957_87268_+	PF01996	F420-0:Gamma-glutamyl ligase			IPR002847	Coenzyme F420:L-glutamate ligase-like domain	-								
k141_21150_87303_88988_+	PF00355;PF01266	Rieske [2Fe-2S] domain;FAD dependent oxidoreductase			IPR017941;IPR006076	Rieske [2Fe-2S] iron-sulphur domain;FAD dependent oxidoreductase	GO:0051537;GO:0016491								
k141_21150_89230_91296_+	PF03030	Inorganic H+ pyrophosphatase			IPR004131	Pyrophosphate-energised proton pump	GO:0004427;GO:0009678;GO:0016020;GO:1902600			TIGR01104	V_PPase: V-type H(+)-translocating pyrophosphatase	MF_01129	Putative K(+)-stimulated pyrophosphate-energized sodium pump [hppA].		
k141_21150_91552_92706_+	PF13458	Periplasmic binding protein			IPR028081	Leucine-binding protein domain	-								K01999
k141_21150_92917_93801_+	PF02653	Branched-chain amino acid transport system / permease component			IPR001851	ABC transporter, permease	GO:0016020;GO:0022857;GO:0055085								K01997
k141_21150_93805_96291_+	PF00005;PF02653;PF12399	ABC transporter;Branched-chain amino acid transport system / permease component;Branched-chain amino acid ATP-binding cassette transporter			IPR003439;IPR001851;IPR032823	ABC transporter-like, ATP-binding domain;ABC transporter, permease;Branched-chain amino acid ATP-binding cassette transporter, C-terminal	GO:0005524;GO:0016020;GO:0022857;GO:0055085;-								K01995;K01996;K01998;K10822
k141_21150_96295_96936_+	PF00571	CBS domain			IPR000644	CBS domain	-								K04767
k141_21150_96971_97732_-	PF00005	ABC transporter			IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524								K02028;K02030;K10822
k141_21150_9771_10865_+	PF01926;PF06071	50S ribosome-binding GTPase;Protein of unknown function (DUF933)			IPR004396;IPR006073;IPR013029	Ribosome-binding ATPase YchF/Obg-like ATPase 1;GTP binding domain;YchF, C-terminal domain	GO:0005524;GO:0005525;GO:0016887;-			TIGR00092	TIGR00092: GTP-binding protein YchF	MF_00944	Ribosome-binding ATPase YchF [ychF].		K06942
k141_21150_97754_98407_-	PF00528	Binding-protein-dependent transport system inner membrane component			IPR000515;IPR010065	ABC transporter type 1, transmembrane domain MetI-like;Amino acid ABC transporter, permease protein, 3-TM domain	GO:0016020;GO:0055085;GO:0022857;GO:0043190;GO:0071705			TIGR01726	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family				K02029
k141_21150_98542_99315_-	PF00497	Bacterial extracellular solute-binding proteins, family 3			IPR001638	Solute-binding protein  family 3/N-terminal domain of MltF	-								K02030
k141_21150_99451_100848_-	PF00860	Permease family			IPR006043	Nucleobase cation symporter 2 family	GO:0016020;GO:0022857;GO:0055085								
k141_21158_1_1050_-	PF13614;PF13807	AAA domain;G-rich domain on putative tyrosine kinase			IPR025669;IPR032807;IPR005702	AAA domain;Tyrosine kinase, G-rich domain;Exopolysaccharide synthesis protein	-;GO:0045226			TIGR01007	eps_fam: capsular exopolysaccharide family				K08253
